Country,tc10,tc15,tc20,tc25,tc30,tc50,tc75
Afghanistan,432116,302661,284358,254867,205792,148430,75486
Albania,839609,777550,753740,707272,649267,535354,364191
Algeria,1690463,1472058,1419830,1316672,1223623,895577,496667
Andorra,20720,19989,19750,19350,19004,16889,13314
Angola,95951339,82808286,65957890,63356632,55315308,31934706,3787967
Anguilla,2895,2739,2571,2357,2126,1372,507
Antigua and Barbuda,21229,20627,20238,19811,19323,17271,13990
Argentina,43380487,42376906,41252877,40144071,39086936,23116331,10594194
Armenia,384494,365878,358063,347046,337299,295099,225266
Aruba,216,140,110,41,25,16,12
Australia,65953924,57577330,48247429,46664804,42309156,25736947,17788693
Austria,4514690,4442091,4416574,4388192,4335127,4113842,3393392
Azerbaijan,1488554,1428108,1389470,1330484,1268158,1112917,819093
Bahamas,357636,339973,327747,314079,303576,256961,199495
Bangladesh,2683526,2304885,2216771,2097657,1959809,1541719,696702
Barbados,6068,5760,5590,5433,5230,4619,3593
Belarus,9653890,9455152,9363960,9256649,9106690,8373090,5791213
Belgium,971143,926045,912038,890683,863883,776796,575604
Belize,1776892,1768304,1761500,1754431,1748267,1710645,1643074
Benin,8884311,4564317,834668,605232,168568,9000,841
Bermuda,713,679,659,640,605,437,261
Bhutan,2683161,2637259,2628169,2616683,2580955,2369598,1665341
Bolivia,66486415,66012866,65454344,65004933,64521409,57489549,47837839
Bonaire Sint Eustatius and Saba,3191,2996,2739,2597,2432,1759,1269
Bosnia and Herzegovina,2899808,2814451,2777238,2730531,2657984,2477211,2054731
Botswana,2412701,564545,103007,54242,20388,1279,22
Brazil,548443334,541492321,532402340,526622549,519187432,475688279,429233652
British Virgin Islands,8485,8164,7963,7738,7464,6856,5853
Brunei,532570,530980,530054,529365,528042,522529,506788
Bulgaria,4477581,4392927,4339010,4263424,4154235,3872473,3207148
Burkina Faso,3214654,314249,3734,1121,132,6,0
Burundi,2280379,1980707,922213,836717,538328,141036,22184
Cambodia,10198769,9651913,9444209,9161051,8810205,7482677,5842950
Cameroon,41743567,40017752,35174870,34269685,31468472,25258539,17471060
Canada,469566767,448828215,437103883,431015454,418073082,324186837,216722504
Cape Verde,10823,9410,8009,7867,7356,3744,2433
Cayman Islands,14729,14285,13929,13686,13458,12395,9995
Central African Republic,59980170,57542464,52855302,51724259,47072093,30770178,6877074
Chad,12837855,4826360,1200929,962346,409519,7231,49
Chile,20639683,20339316,19949593,19588650,19287027,17815777,14205513
China,189016168,179443150,175548860,170165769,162740505,131367562,61891152
Colombia,84482088,83621343,82903987,82449745,81781006,78295158,72170657
Comoros,158382,156704,144653,140901,134784,105959,69013
Costa Rica,4105272,4046795,3994038,3960000,3913040,3684706,3118542
Cote d'Ivoire,30924062,27248347,18910352,17992979,14872641,6357504,511083
Croatia,2691404,2613408,2570379,2517752,2431313,2228575,1888969
Cuba,4401517,4277163,4188621,4115599,4014611,3617397,2878346
Curacao,7536,6912,6320,5844,5261,1940,501
Cyprus,180817,154960,145585,118866,102421,61636,23117
Czech Republic,3232465,3172502,3143272,3113657,3069259,2869178,2226250
Democratic Republic of the Congo,227682868,226086778,214372733,211284889,199224102,164361824,119049347
Denmark,762456,718541,703335,689227,663240,561167,310546
Djibouti,13,2,0,0,0,0,0
Dominica,71866,71487,71257,71084,70925,70127,66999
Dominican Republic,2863480,2771462,2696188,2642658,2576540,2236290,1774359
East Timor,843884,818647,800012,763456,726088,616792,429715
Ecuador,19807374,19574842,19378321,19234416,19065829,17951225,15877696
Egypt,952017,898313,452596,387158,154304,14628,624
El Salvador,1127100,1092797,1052472,1024834,988824,801729,470781
Equatorial Guinea,2671817,2669369,2664370,2663055,2659281,2638002,2451572
Eritrea,1496,445,28,11,5,2,2
Estonia,2780324,2722517,2695271,2670735,2639438,2465473,1956974
Ethiopia,31125009,25291013,16514499,15479591,12040763,5426282,2039857
Fiji,1677574,1671581,1621631,1602802,1582512,1419471,1233894
Finland,22795824,22255710,22133559,21938167,21626900,18302959,10424952
France,18354756,17831283,17581838,17254684,16783128,15270496,11568573
French Guiana,8170478,8168548,8166629,8164371,8162750,8153381,8131835
French Southern Territories,90,88,80,76,72,60,28
Gabon,25918017,25581586,25070297,24977277,24698623,24166000,23077618
Gambia,461233,198048,31337,21337,4605,37,1
Georgia,3369290,3289883,3253563,3216334,3144577,2956343,2500623
Germany,13450745,13064178,12921050,12735486,12532437,11713541,9196221
Ghana,18330613,13282026,8230699,7919669,6955672,4253666,207294
Gibraltar,138,127,126,121,120,100,63
Greece,4763071,4426113,4299252,3978649,3668451,2956781,2112649
Grenada,29553,29189,28971,28770,28534,27654,24553
Guadeloupe,100980,98529,97255,96126,94758,90175,81786
Guatemala,8273536,8108093,7949521,7822998,7693535,6952036,5756694
Guernsey,2117,1873,1766,1651,1508,1155,465
Guinea,22554340,19369229,12426743,11347539,8159620,2155938,182015
Guinea-Bissau,2902912,2687843,1675392,1502244,1069390,314198,3469
Guyana,19068870,19051759,19030666,19010144,18996061,18900492,18768639
Haiti,1073037,1009860,949890,906905,858282,657274,433409
Honduras,8440309,8254437,8047228,7883575,7740485,6696600,5266742
Hong Kong,68820,66554,65393,63969,62046,52270,28032
Hungary,2219953,2149581,2111105,2062548,1988826,1796730,1426394
India,49071297,44936847,43684167,41718729,38812653,30449450,16782972
Indonesia,165441748,163976699,163119588,162218869,160974903,155385633,141185866
Iran,1999543,1894542,1851263,1800736,1731676,1545487,999616
Iraq,38465,29514,25194,20021,17504,6658,818
Ireland,1105938,957523,905025,874881,841573,638981,289903
Isle of Man,16372,14587,14129,13759,13217,10279,4798
Israel,49670,42495,39524,32993,29583,18087,7690
Italy,10448916,10152474,9989367,9702206,9318979,8382335,6479940
Jamaica,808491,794373,784791,777729,768441,729818,654499
Japan,27277296,26886592,26733890,26559251,26387299,25597557,23385556
Jersey,2094,1834,1754,1665,1550,1237,635
Jordan,3838,3336,3187,2429,2271,1531,457
Kazakhstan,5903691,5141576,4837077,4552490,4240095,3155134,1759652
Kenya,10985078,7574691,4289001,3972521,3317689,1890774,963526
Kosovo,418804,397599,391019,384029,370225,334619,238731
Kyrgyzstan,1004579,840895,793738,727475,675394,430548,208458
Laos,19789309,19545869,19430074,19305240,19118468,18114863,14490573
Latvia,3725920,3661877,3628590,3595314,3553519,3321053,2612543
Lebanon,94447,82532,77760,70834,65191,43993,19091
Lesotho,113444,63458,14663,11501,6155,533,25
Liberia,9541808,9518495,9446116,9433489,9384693,9055146,3611660
Libya,24333,15770,13900,7320,6833,1803,248
Liechtenstein,9961,9546,9421,9280,9077,8197,6214
Lithuania,2447500,2407712,2387836,2366698,2335009,2177677,1647310
Luxembourg,105100,103219,102393,101569,100218,95635,80784
Macau,492,453,442,420,402,332,106
Macedonia,911235,863657,842963,819502,781697,696119,536078
Madagascar,33190865,26503394,19454915,18656008,17141074,12241371,5863674
Malawi,7091959,4921606,2460459,2215939,1521741,313115,16333
Malaysia,29771824,29652928,29569849,29517644,29416773,28963878,27237504
Maldives,6101,6012,5896,5865,5824,4628,2066
Mali,8201771,1808829,151536,101106,25098,390,47
Malta,183,157,147,136,124,91,50
Martinique,79062,77286,76256,75484,74650,70992,62862
Mauritania,62,42,36,36,33,16,0
Mauritius,148741,136548,89078,83477,71305,50858,29250
Mayotte,35376,35140,34222,33980,33577,30547,18865
Mexico,63724547,60317261,57511239,55233114,53185250,42132427,29500976
Micronesia,6460,6383,6347,6333,6172,6017,5613
Moldova,439895,414707,397425,375490,353349,313080,209797
Monaco,2,1,1,1,0,0,0
Mongolia,6150028,5086900,4757448,4465777,4090474,1863047,308044
Montenegro,691830,667035,655020,640139,616439,550241,419300
Montserrat,4884,4780,4712,4654,4583,4290,3528
Morocco,1113059,891664,822655,722980,648570,436050,210943
Mozambique,70879372,59434636,39833112,37140393,28907446,10492959,341404
Myanmar,45081556,44219023,43926464,43576732,42859699,39790063,27442290
Namibia,1584727,247698,19872,12749,3900,573,52
Nepal,5599961,5421031,5366024,5301050,5161046,4308190,2131922
Netherlands,754877,684442,660260,626660,595729,476317,286644
New Caledonia,1597788,1570237,1501657,1481552,1440330,1051340,725320
New Zealand,11608628,11527792,11447323,11385805,11282713,10820563,9383284
Nicaragua,8389075,8211347,8037776,7919899,7776814,7067168,5828866
Niger,24301,607,12,9,2,0,0
Nigeria,42553326,26669395,13953395,12919059,10033216,4716199,312641
North Korea,5870712,5607981,5501374,5374493,5196398,4093705,916448
Norway,12730969,12172167,12080538,11905498,11670851,9759494,6229695
Oman,1226,186,13,2,0,0,0
Pakistan,1629950,1291323,1222967,1074606,978657,666941,334858
Palau,42197,41860,41642,41527,41263,40143,37422
Palestina,1652,1257,1134,732,615,273,73
Panama,5942145,5871678,5807161,5763642,5700511,5454728,4969321
Papua New Guinea,43708029,43427158,43288469,43157477,42938224,41992840,39663948
Paraguay,26916395,26450822,25774216,25009592,24296846,13995675,7547191
Peru,79062731,78702632,78435651,78234293,78069231,76814303,74458714
Philippines,19798527,19384349,19165126,18993932,18599421,17415160,14110103
Poland,11188180,10912889,10783600,10653029,10463320,9551530,6486236
Portugal,3006369,2755914,2601296,2462954,2302486,1589981,914497
Puerto Rico,561250,547088,538425,531711,523697,491959,438137
Congo,33517060,32479242,29287176,28569389,26385345,23942800,21418803
Reunion,203273,199756,183764,180346,170474,131489,74206
Romania,8487791,8296551,8190963,8086283,7905795,7377448,6283610
Russia,883390353,823787960,809773124,785836233,761029946,601182501,330457683
Rwanda,2049108,1573796,758922,702686,496633,205889,88778
Saint Kitts and Nevis,14379,13988,13755,13556,13260,12369,10740
Saint Lucia,52516,51886,51473,51133,50731,49236,45142
Saint Pierre and Miquelon,6066,5799,5688,5579,5454,4146,1145
